RowId,YearStart,LocationAbbr,LocationDesc,DataSource,PriorityArea1,PriorityArea2,PriorityArea3,PriorityArea4,Class,Topic,Question,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Break_Out_Category,Break_Out,ClassId,TopicId,QuestionId,Data_Value_TypeID,BreakOutCategoryId,BreakOutId,LocationId,Geolocation
NHANES~1999-2000~59~NH001~RAC01~Crude,1999-2000,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),8.2,8.2,,,7.1,9.5,Race,Non-Hispanic White,C1,T1,NH001,Crude,BOC04,RAC01,59,
NHANES~1999-2000~59~NH001~RAC01~Age-Standardized,1999-2000,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),8.0,8.0,,,6.8,9.5,Race,Non-Hispanic White,C1,T1,NH001,AgeStdz,BOC04,RAC01,59,
NHANES~1999-2000~59~NH001~RAC02~Crude,1999-2000,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),6.3,6.3,,,5.1,7.8,Race,Non-Hispanic Black,C1,T1,NH001,Crude,BOC04,RAC02,59,
NHANES~1999-2000~59~NH001~RAC02~Age-Standardized,1999-2000,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),8.2,8.2,,,6.4,10.5,Race,Non-Hispanic Black,C1,T1,NH001,AgeStdz,BOC04,RAC02,59,
NHANES~1999-2000~59~NH001~RAC03~Crude,1999-2000,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic Asian,C1,T1,NH001,Crude,BOC04,RAC03,59,
NHANES~1999-2000~59~NH001~RAC03~Age-Standardized,1999-2000,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic Asian,C1,T1,NH001,AgeStdz,BOC04,RAC03,59,
NHANES~1999-2000~59~NH001~RAC04~Age-Standardized,1999-2000,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Hispanic,C1,T1,NH001,AgeStdz,BOC04,RAC04,59,
NHANES~1999-2000~59~NH001~RAC04~Crude,1999-2000,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Hispanic,C1,T1,NH001,Crude,BOC04,RAC04,59,
NHANES~1999-2000~59~NH001~RAC07~Crude,1999-2000,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),,-2.0,~,"Statistically unstable estimates are suppressed, based on the NCHS Data Presentation Standards for Proportions: Parker JD, Talih M, Malec DJ, et al. National Center for Health Statistics Data Presentation Standards for Proportions. National Center for Health Statistics. Vital Health Stat 2(175). 2017.",,,Race,Other,C1,T1,NH001,Crude,BOC04,RAC07,59,
NHANES~1999-2000~59~NH001~RAC07~Age-Standardized,1999-2000,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),8.8,8.8,,,5.1,14.7,Race,Other,C1,T1,NH001,AgeStdz,BOC04,RAC07,59,
NHANES~2001-2002~59~NH001~OVR01~Crude,2001-2002,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),7.5,7.5,,,6.5,8.6,Overall,Overall,C1,T1,NH001,Crude,BOC01,OVR01,59,
NHANES~2001-2002~59~NH001~OVR01~Age-Standardized,2001-2002,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),8.2,8.2,,,7.3,9.1,Overall,Overall,C1,T1,NH001,AgeStdz,BOC01,OVR01,59,
NHANES~2001-2002~59~NH001~GEN01~Crude,2001-2002,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),8.3,8.3,,,7.0,9.7,Gender,Male,C1,T1,NH001,Crude,BOC02,GEN01,59,
NHANES~2001-2002~59~NH001~GEN01~Age-Standardized,2001-2002,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),9.4,9.4,,,8.3,10.7,Gender,Male,C1,T1,NH001,AgeStdz,BOC02,GEN01,59,
NHANES~2001-2002~59~NH001~GEN02~Crude,2001-2002,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),6.8,6.8,,,5.7,8.2,Gender,Female,C1,T1,NH001,Crude,BOC02,GEN02,59,
NHANES~2001-2002~59~NH001~GEN02~Age-Standardized,2001-2002,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),7.1,7.1,,,6.0,8.4,Gender,Female,C1,T1,NH001,AgeStdz,BOC02,GEN02,59,
NHANES~2001-2002~59~NH001~AGE02~Crude,2001-2002,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),0.4,0.4,,,0.1,1.2,Age,20-24,C1,T1,NH001,Crude,BOC03,AGE02,59,
NHANES~2001-2002~59~NH001~AGE04~Crude,2001-2002,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),2.1,2.1,,,1.5,2.8,Age,25-44,C1,T1,NH001,Crude,BOC03,AGE04,59,
NHANES~2001-2002~59~NH001~AGE05~Crude,2001-2002,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),7.8,7.8,,,5.8,10.6,Age,45-64,C1,T1,NH001,Crude,BOC03,AGE05,59,
NHANES~2001-2002~59~NH001~AGE06~Crude,2001-2002,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),27.0,27.0,,,23.5,30.8,Age,65+,C1,T1,NH001,Crude,BOC03,AGE06,59,
NHANES~2001-2002~59~NH001~AGE07~Crude,2001-2002,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),10.5,10.5,,,9.2,12.0,Age,35+,C1,T1,NH001,Crude,BOC03,AGE07,59,
NHANES~2001-2002~59~NH001~AGE08~Crude,2001-2002,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),34.6,34.6,,,29.1,40.6,Age,75+,C1,T1,NH001,Crude,BOC03,AGE08,59,
NHANES~2001-2002~59~NH001~RAC01~Crude,2001-2002,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),8.4,8.4,,,7.2,9.7,Race,Non-Hispanic White,C1,T1,NH001,Crude,BOC04,RAC01,59,
NHANES~2001-2002~59~NH001~RAC01~Age-Standardized,2001-2002,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),8.3,8.3,,,7.2,9.5,Race,Non-Hispanic White,C1,T1,NH001,AgeStdz,BOC04,RAC01,59,
NHANES~2001-2002~59~NH001~RAC02~Crude,2001-2002,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),8.1,8.1,,,6.5,10.1,Race,Non-Hispanic Black,C1,T1,NH001,Crude,BOC04,RAC02,59,
NHANES~2001-2002~59~NH001~RAC02~Age-Standardized,2001-2002,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),9.8,9.8,,,8.2,11.7,Race,Non-Hispanic Black,C1,T1,NH001,AgeStdz,BOC04,RAC02,59,
NHANES~2001-2002~59~NH001~RAC03~Age-Standardized,2001-2002,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic Asian,C1,T1,NH001,AgeStdz,BOC04,RAC03,59,
NHANES~2001-2002~59~NH001~RAC03~Crude,2001-2002,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic Asian,C1,T1,NH001,Crude,BOC04,RAC03,59,
NHANES~2001-2002~59~NH001~RAC04~Crude,2001-2002,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Hispanic,C1,T1,NH001,Crude,BOC04,RAC04,59,
NHANES~2001-2002~59~NH001~RAC04~Age-Standardized,2001-2002,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Hispanic,C1,T1,NH001,AgeStdz,BOC04,RAC04,59,
NHANES~2001-2002~59~NH001~RAC07~Crude,2001-2002,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),,-2.0,~,"Statistically unstable estimates are suppressed, based on the NCHS Data Presentation Standards for Proportions: Parker JD, Talih M, Malec DJ, et al. National Center for Health Statistics Data Presentation Standards for Proportions. National Center for Health Statistics. Vital Health Stat 2(175). 2017.",,,Race,Other,C1,T1,NH001,Crude,BOC04,RAC07,59,
NHANES~2001-2002~59~NH001~RAC07~Age-Standardized,2001-2002,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),,-2.0,~,"Statistically unstable estimates are suppressed, based on the NCHS Data Presentation Standards for Proportions: Parker JD, Talih M, Malec DJ, et al. National Center for Health Statistics Data Presentation Standards for Proportions. National Center for Health Statistics. Vital Health Stat 2(175). 2017.",,,Race,Other,C1,T1,NH001,AgeStdz,BOC04,RAC07,59,
NHANES~2003-2004~59~NH001~OVR01~Crude,2003-2004,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),8.7,8.7,,,7.2,10.5,Overall,Overall,C1,T1,NH001,Crude,BOC01,OVR01,59,
NHANES~2003-2004~59~NH001~OVR01~Age-Standardized,2003-2004,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),8.8,8.8,,,7.4,10.3,Overall,Overall,C1,T1,NH001,AgeStdz,BOC01,OVR01,59,
NHANES~2003-2004~59~NH001~GEN01~Age-Standardized,2003-2004,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),9.7,9.7,,,8.1,11.7,Gender,Male,C1,T1,NH001,AgeStdz,BOC02,GEN01,59,
NHANES~2003-2004~59~NH001~GEN01~Crude,2003-2004,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),9.1,9.1,,,7.2,11.4,Gender,Male,C1,T1,NH001,Crude,BOC02,GEN01,59,
NHANES~2003-2004~59~NH001~GEN02~Crude,2003-2004,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),8.3,8.3,,,6.8,10.1,Gender,Female,C1,T1,NH001,Crude,BOC02,GEN02,59,
NHANES~2003-2004~59~NH001~GEN02~Age-Standardized,2003-2004,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),8.0,8.0,,,6.7,9.6,Gender,Female,C1,T1,NH001,AgeStdz,BOC02,GEN02,59,
NHANES~2003-2004~59~NH001~AGE02~Crude,2003-2004,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),0.0,0.0,,,,,Age,20-24,C1,T1,NH001,Crude,BOC03,AGE02,59,
NHANES~2003-2004~59~NH001~AGE04~Crude,2003-2004,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),1.8,1.8,,,1.1,3.0,Age,25-44,C1,T1,NH001,Crude,BOC03,AGE04,59,
NHANES~2003-2004~59~NH001~AGE05~Crude,2003-2004,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),8.9,8.9,,,6.6,11.9,Age,45-64,C1,T1,NH001,Crude,BOC03,AGE05,59,
NHANES~2003-2004~59~NH001~AGE06~Crude,2003-2004,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),29.6,29.6,,,25.3,34.2,Age,65+,C1,T1,NH001,Crude,BOC03,AGE06,59,
NHANES~2003-2004~59~NH001~AGE07~Crude,2003-2004,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),12.0,12.0,,,10.1,14.3,Age,35+,C1,T1,NH001,Crude,BOC03,AGE07,59,
NHANES~2003-2004~59~NH001~AGE08~Crude,2003-2004,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),32.9,32.9,,,29.0,37.0,Age,75+,C1,T1,NH001,Crude,BOC03,AGE08,59,
NHANES~2003-2004~59~NH001~RAC01~Age-Standardized,2003-2004,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),8.8,8.8,,,7.3,10.5,Race,Non-Hispanic White,C1,T1,NH001,AgeStdz,BOC04,RAC01,59,
NHANES~2003-2004~59~NH001~RAC01~Crude,2003-2004,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),9.6,9.6,,,7.9,11.6,Race,Non-Hispanic White,C1,T1,NH001,Crude,BOC04,RAC01,59,
NHANES~2003-2004~59~NH001~RAC02~Age-Standardized,2003-2004,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),8.7,8.7,,,7.2,10.5,Race,Non-Hispanic Black,C1,T1,NH001,AgeStdz,BOC04,RAC02,59,
NHANES~2003-2004~59~NH001~RAC02~Crude,2003-2004,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),7.4,7.4,,,6.0,9.1,Race,Non-Hispanic Black,C1,T1,NH001,Crude,BOC04,RAC02,59,
NHANES~2003-2004~59~NH001~RAC03~Age-Standardized,2003-2004,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic Asian,C1,T1,NH001,AgeStdz,BOC04,RAC03,59,
NHANES~2003-2004~59~NH001~RAC03~Crude,2003-2004,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Non-Hispanic Asian,C1,T1,NH001,Crude,BOC04,RAC03,59,
NHANES~2003-2004~59~NH001~RAC04~Age-Standardized,2003-2004,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),,-1.0,-,Data not available,,,Race,Hispanic,C1,T1,NH001,AgeStdz,BOC04,RAC04,59,
NHANES~2003-2004~59~NH001~RAC04~Crude,2003-2004,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),,-1.0,-,Data not available,,,Race,Hispanic,C1,T1,NH001,Crude,BOC04,RAC04,59,
NHANES~2003-2004~59~NH001~RAC07~Age-Standardized,2003-2004,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),,-2.0,~,"Statistically unstable estimates are suppressed, based on the NCHS Data Presentation Standards for Proportions: Parker JD, Talih M, Malec DJ, et al. National Center for Health Statistics Data Presentation Standards for Proportions. National Center for Health Statistics. Vital Health Stat 2(175). 2017.",,,Race,Other,C1,T1,NH001,AgeStdz,BOC04,RAC07,59,
NHANES~2003-2004~59~NH001~RAC07~Crude,2003-2004,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),,-2.0,~,"Statistically unstable estimates are suppressed, based on the NCHS Data Presentation Standards for Proportions: Parker JD, Talih M, Malec DJ, et al. National Center for Health Statistics Data Presentation Standards for Proportions. National Center for Health Statistics. Vital Health Stat 2(175). 2017.",,,Race,Other,C1,T1,NH001,Crude,BOC04,RAC07,59,
NHANES~2005-2006~59~NH001~OVR01~Crude,2005-2006,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),8.0,8.0,,,6.9,9.2,Overall,Overall,C1,T1,NH001,Crude,BOC01,OVR01,59,
NHANES~2005-2006~59~NH001~OVR01~Age-Standardized,2005-2006,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),8.0,8.0,,,7.2,8.8,Overall,Overall,C1,T1,NH001,AgeStdz,BOC01,OVR01,59,
NHANES~2005-2006~59~NH001~GEN01~Crude,2005-2006,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),8.6,8.6,,,7.3,10.1,Gender,Male,C1,T1,NH001,Crude,BOC02,GEN01,59,
NHANES~2005-2006~59~NH001~GEN01~Age-Standardized,2005-2006,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),9.2,9.2,,,8.4,10.1,Gender,Male,C1,T1,NH001,AgeStdz,BOC02,GEN01,59,
NHANES~2005-2006~59~NH001~GEN02~Crude,2005-2006,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),7.4,7.4,,,5.9,9.2,Gender,Female,C1,T1,NH001,Crude,BOC02,GEN02,59,
NHANES~2005-2006~59~NH001~GEN02~Age-Standardized,2005-2006,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),7.1,7.1,,,5.8,8.6,Gender,Female,C1,T1,NH001,AgeStdz,BOC02,GEN02,59,
NHANES~2005-2006~59~NH001~AGE02~Crude,2005-2006,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),1.0,1.0,,,0.4,2.7,Age,20-24,C1,T1,NH001,Crude,BOC03,AGE02,59,
NHANES~2005-2006~59~NH001~AGE04~Crude,2005-2006,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),1.5,1.5,,,1.0,2.4,Age,25-44,C1,T1,NH001,Crude,BOC03,AGE04,59,
NHANES~2005-2006~59~NH001~AGE05~Crude,2005-2006,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),7.9,7.9,,,6.5,9.7,Age,45-64,C1,T1,NH001,Crude,BOC03,AGE05,59,
NHANES~2005-2006~59~NH001~AGE06~Crude,2005-2006,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),26.9,26.9,,,24.6,29.3,Age,65+,C1,T1,NH001,Crude,BOC03,AGE06,59,
NHANES~2005-2006~59~NH001~AGE07~Crude,2005-2006,US,United States,NHANES,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),10.8,10.8,,,9.4,12.3,Age,35+,C1,T1,NH001,Crude,BOC03,AGE07,59,
